Year,Scenario,Africa,Asia-Pacific Developed,Eastern Asia,Europe,Eurasia,Latin America and Caribbean,Middle East,North America,Southern Asia,South-East Asia and Developing Pacific,Global
2043,ssp126,-3.076671982,-3.582800293,-5.264450073,-7.053232193,-4.994455338,-4.06226759,-7.213742638,-7.542308521,-5.043213558,-3.530374479,-4.66258827
2044,ssp126,-3.348200703,-3.628230715,-5.667528152,-7.527909756,-5.127955437,-4.031051445,-7.756174469,-7.906798553,-4.684487057,-3.214143705,-4.754526271
2045,ssp126,-3.326821709,-3.555335903,-5.897311211,-7.694283485,-5.59117651,-4.011651325,-7.720707321,-8.019079876,-5.256062222,-4.202463102,-4.943738598
2046,ssp126,-2.881025696,-3.778445864,-6.185202599,-8.164416313,-6.06201601,-4.079555321,-7.370619202,-8.384247971,-4.644756031,-4.629094553,-5.035722884
2047,ssp126,-3.176781082,-3.802334452,-6.196587563,-8.229938984,-5.781835079,-4.138795185,-7.521553421,-8.482236576,-4.93614645,-4.02437253,-5.070036761
2048,ssp126,-3.313395405,-4.062108183,-6.709928513,-8.612295628,-6.103981972,-4.475682545,-8.349613571,-8.95795269,-5.162337971,-4.278892469,-5.431310639
2049,ssp126,-3.587256336,-4.300104046,-6.833862305,-8.849612713,-6.71983099,-4.870158958,-8.850407982,-9.302644444,-4.912876797,-4.24123807,-5.804671559
2050,ssp126,-3.827572727,-4.327005768,-6.903121948,-9.11649704,-6.421566963,-4.794958401,-8.706992531,-9.279388618,-5.164262486,-5.145915937,-5.961288098
2051,ssp126,-3.479167366,-4.736708069,-7.382517815,-9.388123512,-6.659084797,-4.743908453,-8.87151947,-9.580120754,-5.643830967,-5.408687544,-6.034986648
2052,ssp126,-3.504467869,-4.540651464,-7.322330475,-9.253732204,-6.885116577,-4.894039917,-8.45698204,-9.703168106,-5.033952427,-5.161242914,-5.968925234
2053,ssp126,-3.779517078,-4.466849709,-7.764678001,-9.621798038,-7.164974213,-5.193483639,-9.545587921,-9.735600185,-6.022217464,-4.500317049,-6.228931498
2054,ssp126,-4.006501102,-4.431833172,-7.979189873,-9.502380848,-6.658563614,-5.380046654,-9.697742844,-9.845988941,-5.888743114,-4.839724493,-6.157875359
2055,ssp126,-3.970124626,-4.509041929,-8.145648956,-9.528140545,-7.069351196,-5.328007984,-9.576196098,-10.04226418,-5.579683018,-5.213026476,-6.296565176
2056,ssp126,-3.996310616,-4.869391346,-8.374863625,-9.886795521,-7.241529465,-5.147061157,-9.70252552,-10.37404032,-6.028337193,-5.318933439,-6.410241145
2057,ssp126,-3.801626587,-4.760239029,-8.35324955,-10.04886913,-7.174032211,-5.408340502,-9.49753418,-10.27878017,-5.793394756,-5.24421401,-6.343503229
2058,ssp126,-4.173527622,-4.949531937,-8.860274315,-10.20874262,-7.604692936,-5.197447348,-10.57634583,-10.70587893,-6.292309475,-5.414412928,-6.590455579
